UID          PID    PPID  C STIME TTY          TIME CMD
root         102       2  0 dic28 ?        00:00:00 [irq/121-pcie-dpc]
root         103       2  0 dic28 ?        00:00:00 [irq/122-aerdrv]
root         104       2  0 dic28 ?        00:00:00 [irq/122-pcie-dpc]
root         105       2  0 dic28 ?        00:00:00 [irq/123-aerdrv]
root         106       2  0 dic28 ?        00:00:00 [irq/123-pcie-dpc]
root         108       2  0 dic28 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root         109       2  0 dic28 ?        00:00:00 [hwrng]
root         113       2  0 dic28 ?        00:00:00 [scsi_eh_0]
root         114       2  0 dic28 ?        00:00:00 [kworker/R-scsi_tmf_0]
root         116       2  0 dic28 ?        00:00:00 [kworker/R-dm_bufio_cache]
root         117       2  0 dic28 ?        00:00:00 [kworker/R-mld]
root         118       2  0 dic28 ?        00:00:00 [kworker/R-ipv6_addrconf]
root         119       2  0 dic28 ?        00:00:03 [kworker/0:1H-i915_cleanup]
root         122       2  0 dic28 ?        00:00:00 [kworker/R-kstrp]
root         199       2  0 dic28 ?        00:00:01 [kworker/3:1H-kblockd]
root         201       2  0 dic28 ?        00:00:02 [kworker/5:1H-kblockd]
root         242       2  0 dic28 ?        00:00:02 [kworker/1:1H-i915_cleanup]
root         244       2  0 dic28 ?        00:00:01 [kworker/4:1H-i915_cleanup]
root         247       2  0 dic28 ?        00:00:02 [kworker/7:1H-i915_cleanup]
root         250       2  0 dic28 ?        00:00:04 [kworker/6:1H-i915_cleanup]
root         403       2  0 dic28 ?        00:01:57 [irq/74-ELAN0709:00]
root         407       2  0 dic28 ?        00:00:00 [scsi_eh_1]
root         408       2  0 dic28 ?        00:00:00 [kworker/R-scsi_tmf_1]
root         409       2  0 dic28 ?        00:00:01 [usb-storage]
root         418       2  0 dic28 ?        00:00:00 [kworker/R-uas]
root         419       2  0 dic28 ?        00:00:00 [kworker/R-nvme-wq]
root         420       2  0 dic28 ?        00:00:00 [kworker/R-nvme-reset-wq]
root         421       2  0 dic28 ?        00:00:00 [kworker/R-nvme-delete-wq]
root         422       2  0 dic28 ?        00:00:00 [kworker/R-nvme-auth-wq]
root         432       2  0 dic28 ?        00:00:00 [kworker/R-btrfs-worker]
root         433       2  0 dic28 ?        00:00:00 [kworker/R-btrfs-delalloc]
root         434       2  0 dic28 ?        00:00:00 [kworker/R-btrfs-flush_delalloc]
root         435       2  0 dic28 ?        00:00:00 [kworker/R-btrfs-cache]
root         436       2  0 dic28 ?        00:00:00 [kworker/R-btrfs-fixup]
root         437       2  0 dic28 ?        00:00:00 [kworker/R-btrfs-endio]
root         438       2  0 dic28 ?        00:00:00 [kworker/R-btrfs-endio-meta]
root         439       2  0 dic28 ?        00:00:00 [kworker/R-btrfs-rmw]
root         440       2  0 dic28 ?        00:00:00 [kworker/R-btrfs-endio-write]
root         441       2  0 dic28 ?        00:00:00 [kworker/R-btrfs-compressed-write]
root         442       2  0 dic28 ?        00:00:00 [kworker/R-btrfs-freespace-write]
root         443       2  0 dic28 ?        00:00:00 [kworker/R-btrfs-delayed-meta]
root         444       2  0 dic28 ?        00:00:00 [kworker/R-btrfs-qgroup-rescan]
root         445       2  0 dic28 ?        00:00:00 [btrfs-cleaner]
root         446       2  0 dic28 ?        00:00:30 [btrfs-transaction]
root         475       2  0 dic28 ?        00:00:00 [kworker/R-ttm]
root         476       2  0 dic28 ?        00:00:00 [kworker/R-ttm]
root         477       2  0 dic28 ?        00:00:00 [card2-crtc0]
root         478       2  0 dic28 ?        00:00:00 [card2-crtc1]
root         479       2  0 dic28 ?        00:00:00 [card2-crtc2]
root         546       1  0 dic28 ?        00:01:33 /usr/lib/systemd/systemd-journald
root         577       1  0 dic28 ?        00:00:00 /usr/lib/systemd/systemd-userdbd
root         588       1  0 dic28 ?        00:00:02 /usr/lib/systemd/systemd-udevd
root         589       2  0 dic28 ?        00:00:00 [psimon]
root         663       2  0 dic28 ?        00:00:00 [jbd2/nvme0n1p2-8]
root         665       2  0 dic28 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         695       2  0 dic28 ?        00:00:00 [kworker/R-cfg80211]
systemd+     724       1  0 dic28 ?        00:00:05 /usr/lib/systemd/systemd-resolved
root         726       1  0 dic28 ?        00:00:00 /usr/bin/auditd
root         728     726  0 dic28 ?        00:00:00 /usr/sbin/sedispatch
dbus         772       1  0 dic28 ?        00:00:00 /usr/bin/dbus-broker-launch --scope system --audit
root         774       2  0 dic28 ?        00:01:51 [irq/146-rtw88_pci]
dbus         780     772  0 dic28 ?        00:00:09 dbus-broker --log 10 --controller 9 --machine-id 10e15d8f7ada4aa49865722237c2fccf --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi        783       1  0 dic28 ?        00:00:00 avahi-daemon: running [fedora.local]
root         784       1  0 dic28 ?        00:00:05 /usr/libexec/bluetooth/bluetoothd
root         787       1  0 dic28 ?        00:00:04 /usr/sbin/irqbalance
chrony       789       1  0 dic28 ?        00:00:00 /usr/sbin/chronyd -n -F 2
root         791       1  0 dic28 ?        00:00:00 /usr/sbin/mcelog --daemon --foreground
polkitd      793       1  0 dic28 ?        00:00:03 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
rtkit        795       1  0 dic28 ?        00:00:00 /usr/libexec/rtkit-daemon
root         796       1  0 dic28 ?        00:00:00 /usr/bin/smartd -n -q never --capabilities=mail
root         797       1  0 dic28 ?        00:00:00 /usr/libexec/switcheroo-control
root         798       1  0 dic28 ?        00:00:04 /usr/bin/thermald --systemd --dbus-enable --adaptive
root         799       1  0 dic28 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         800       1  0 dic28 ?        00:00:09 /usr/libexec/upowerd
root         814       1  0 dic28 ?        00:00:04 /usr/libexec/accounts-daemon
root         817       1  0 dic28 ?        00:00:01 /usr/lib/systemd/systemd-logind
avahi        819     783  0 dic28 ?        00:00:00 avahi-daemon: chroot helper
root         841       1  0 dic28 ?        00:00:00 /usr/sbin/abrtd -d -s
root         881       1  0 dic28 ?        00:00:00 /usr/bin/ModemManager
root         882       1  0 dic28 ?        00:00:00 /usr/bin/python3 -sP /usr/bin/firewalld --nofork --nopid
root         891       1  0 dic28 ?        00:00:02 /usr/bin/abrt-dump-journal-core -D -T -f -e
root         893       1  0 dic28 ?        00:00:04 /usr/bin/abrt-dump-journal-oops -fxtD
root         899       1  0 dic28 ?        00:00:02 /usr/bin/abrt-dump-journal-xorg -fxtD
root         901       2  0 dic28 ?        00:00:00 [kworker/R-rpciod]
root         902       2  0 dic28 ?        00:00:00 [kworker/R-xprtiod]
root         919       1  0 dic28 ?        00:00:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root         969       1  0 dic28 ?        00:00:18 /usr/bin/NetworkManager --no-daemon
